blue	1	8	2	1.42
white	7	8	1	1.47
red	4	3	6	1.29
green	7	9	1	1.23
black	4	8	6	1.10
white	6	3	1	1.96
black	2	5	4	1.0
red	3	5	1	1.61
white	4	8	6	1.69
black	7	3	5	1.22
blue	5	3	5	1.77
blue	6	1	5	1.64
blue	6	6	2	1.39
black	5	6	6	1.79
green	4	5	7	1.42
red	8	9	4	1.64
blue	7	2	1	1.45
blue	1	2	6	1.85
red	6	3	6	1.84
white	9	6	2	1.76
white	3	9	8	1.16
white	7	6	6	1.43
black	8	2	3	1.3
black	9	6	7	1.61
blue	7	7	5	1.48
red	6	5	5	1.40
black	9	8	5	1.42
blue	9	8	9	1.67
blue	8	7	5	1.41
red	3	7	4	1.24
red	2	3	9	1.72
white	2	7	4	1.82
white	1	7	6	1.96
black	7	9	8	1.53
blue	6	8	5	1.63
blue	6	6	7	1.2
white	1	1	1	1.34
green	3	5	1	1.49
red	7	2	3	1.78
blue	5	1	5	1.59
red	7	5	4	1.50
white	9	1	8	1.83
black	3	2	5	1.87
green	3	8	7	1.64
green	8	8	1	1.53
red	5	4	6	1.15
green	9	9	7	1.94
green	9	2	2	1.26
black	9	7	2	1.71
white	3	7	8	1.15
white	8	9	1	1.62
red	5	2	7	1.58
black	7	1	5	1.33
red	7	5	9	1.94
black	6	3	3	1.43
red	8	9	7	1.16
blue	2	9	9	1.22
black	3	8	5	1.26
white	7	4	1	1.35
blue	5	8	4	1.12
green	2	5	2	1.38
red	7	7	5	1.90
red	4	7	4	1.74
black	5	3	4	1.82
blue	4	7	4	1.97
black	2	3	2	1.55
black	4	5	2	1.41
red	5	3	5	1.67
black	6	9	3	1.12
red	3	9	4	1.41
black	2	2	5	1.11
green	4	7	7	1.23
green	8	1	4	1.94
blue	1	4	3	1.37
green	5	4	9	1.55
red	8	8	6	1.31
red	4	4	4	1.82
black	9	8	1	1.8
white	8	6	5	1.6
green	6	1	3	1.97
white	8	3	3	1.55
green	5	3	1	1.5
white	2	1	7	1.89
green	8	8	7	1.84
blue	2	6	2	1.44
green	5	5	1	1.85
black	8	5	2	1.82
white	3	6	2	1.21
green	4	7	4	1.98
white	4	7	9	1.40
green	7	3	3	1.2
black	2	3	7	1.32
red	1	7	2	1.27
green	4	9	6	1.35
black	9	9	4	1.3
red	1	2	1	1.29
red	2	9	2	1.94
blue	3	9	6	1.84
white	8	9	1	1.99
blue	9	8	5	1.2
